,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
350,EA,NY,ART,Watertown,Watertown International,N,0%,"83,917"
351,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,N,0%,"192,175"
352,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,N,0%,"233,019"
353,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,N,0%,"54,792"
354,GL,MI,MKG,Muskegon,Muskegon County,N,0%,"268,198"
355,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,N,0%,"187,156"
356,GL,MI,ESC,Escanaba,Delta County,N,0%,"121,873"
357,NM,UT,OGD,Ogden,Ogden-Hinckley,N,0%,"39,186"
358,SW,NM,HOB,Hobbs,Lea County Regional,N,0%,"69,711"
359,NM,OR,OTH,North Bend,Southwest Oregon Regional,N,0%,"294,324"
360,WP,CA,RIV,Riverside,March ARB,None,0%,"283,261"
361,AL,AK,UNK,Unalakleet,Unalakleet,N,0%,"130,437"
362,NE,ME,RKD,Rockland,Knox County Regional,N,0%,"163,188"
363,WP,NV,VGT,Las Vegas,North Las Vegas,N,0%,"1,167,370"
364,NE,MA,BED,Bedford,Laurence G Hanscom Field,None,0%,"131,478"
365,AL,AK,MRI,Anchorage,Merrill Field,N,0%,"188,377"
366,NM,WY,LAR,Laramie,Laramie Regional,N,0%,"113,220"
367,GL,MN,INL,International Falls,Falls International-Einarson Field,N,0%,"188,404"
368,NM,UT,CDC,Cedar City,Cedar City Regional,N,0%,"104,259"
369,AL,AK,VDZ,Valdez,Valdez Pioneer Field,N,0%,"170,110"
370,AL,AK,ANI,Aniak,Aniak,N,0%,"203,521"
371,WP,NV,EKO,Elko,Elko Regional,N,0%,"372,429"
372,EA,NY,GTB,Fort Drum,Wheeler-Sack AAF,None,0%,"112,011"
373,EA,NY,FRG,North Babylon,Republic,None,0%,"51,779"
374,AL,AK,KSM,St Mary's,St Mary's,N,0%,"124,655"
375,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,N,0%,"146,179"
376,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,N,0%,"157,650"
377,GL,MI,IMT,Iron Mountain,Ford,N,0%,"92,536"
378,AL,AK,WRG,Wrangell,Wrangell,N,0%,"122,030"
379,EA,DE,ILG,Wilmington,New Castle,N,0%,"182,984"
380,NE,RI,BID,Block Island,Block Island State,N,0%,"97,553"
381,GL,MN,HIB,Hibbing,Range Regional,N,0%,"115,521"
382,WP,CA,CRQ,Carlsbad,McClellan-Palomar,N,0%,"480,029"
383,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,N,0%,"275,486"
